Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JV173_UniCOI_Tornabene_S043447.1.R1	85.00880971025842	48.0	250.0	45.45454545454545	20432.0
JV173_UniCOI_Tornabene_S043447.1.R2	79.15524667188724	45.0	250.0	36.36363636363637	20432.0
JV173_UniCOI_Tornabene_S043448.1.R1	83.12782322060798	48.0	250.0	45.45454545454545	16382.0
JV173_UniCOI_Tornabene_S043448.1.R2	80.77157856183617	45.0	250.0	36.36363636363637	16382.0
JV173_UniCOI_Tornabene_S043449.1.R1	81.05654147750722	46.0	250.0	36.36363636363637	9692.0
JV173_UniCOI_Tornabene_S043449.1.R2	75.06190672719768	45.0	250.0	36.36363636363637	9692.0
JV173_UniCOI_Tornabene_S043450.1.R1	74.850794233771	44.0	250.0	27.27272727272727	10891.0
JV173_UniCOI_Tornabene_S043450.1.R2	78.9091910751997	44.0	250.0	36.36363636363637	10891.0
JV173_UniCOI_Tornabene_S043451.1.R1	80.16718721293404	48.0	250.0	36.36363636363637	10886.0
JV173_UniCOI_Tornabene_S043451.1.R2	79.2118317104538	46.0	250.0	45.45454545454545	10886.0
